timestamp_ms,shunt_voltage_mV,bus_voltage_V,current_mA,power_mW,workload_state,status
6196,0.330000,5.091250,33.000,167.500,0,OK
6216,0.330000,5.090000,33.000,167.500,0,OK
6236,0.332500,5.090000,33.250,170.000,0,OK
6256,0.330000,5.091250,33.250,167.500,0,OK
6276,0.330000,5.086250,33.000,167.500,0,OK
6296,0.327500,5.090000,32.750,166.250,0,OK
6316,0.330000,5.091250,33.000,167.500,0,OK
6336,0.327500,5.088750,32.750,166.250,0,OK
6356,0.330000,5.090000,33.000,167.500,0,OK
6376,0.332500,5.091250,33.000,167.500,0,OK
6396,0.330000,5.088750,33.000,167.500,0,OK
6416,0.330000,5.090000,33.000,167.500,0,OK
6436,0.327500,5.090000,32.750,166.250,0,OK
6456,0.332500,5.088750,33.250,170.000,0,OK
6476,0.332500,5.090000,33.250,170.000,0,OK
6496,0.330000,5.090000,33.000,167.500,0,OK
6516,0.325000,5.091250,32.500,166.250,0,OK
6536,0.330000,5.091250,33.000,167.500,0,OK
6556,0.330000,5.090000,32.750,166.250,0,OK
6576,0.327500,5.090000,32.750,166.250,0,OK
6596,0.332500,5.090000,33.000,167.500,0,OK
6616,0.330000,5.085000,33.000,167.500,0,OK
6636,0.332500,5.088750,33.250,170.000,0,OK
6656,0.332500,5.088750,33.250,170.000,0,OK
6676,0.330000,5.090000,33.000,167.500,0,OK
6696,0.332500,5.090000,33.250,170.000,0,OK
6716,0.332500,5.090000,33.250,170.000,0,OK
6736,0.332500,5.088750,33.000,167.500,0,OK
6756,0.330000,5.090000,32.750,166.250,0,OK
6776,0.330000,5.091250,33.250,167.500,0,OK
6796,0.330000,5.086250,33.000,167.500,0,OK
6816,0.330000,5.090000,33.000,167.500,0,OK
6836,0.327500,5.090000,32.750,166.250,0,OK
6856,0.330000,5.090000,33.000,167.500,0,OK
6876,0.327500,5.090000,32.750,166.250,0,OK
6896,0.335000,5.090000,33.000,167.500,0,OK
6916,0.330000,5.088750,33.000,167.500,0,OK
6936,0.330000,5.091250,33.250,167.500,0,OK
6956,0.327500,5.088750,32.750,166.250,0,OK
6976,0.327500,5.087500,32.750,166.250,0,OK
6996,0.332500,5.088750,33.250,170.000,0,OK
7016,0.330000,5.088750,33.000,167.500,0,OK
7036,0.332500,5.088750,33.250,170.000,0,OK
7056,0.330000,5.090000,33.000,167.500,0,OK
7076,0.327500,5.090000,32.750,166.250,0,OK
7096,0.330000,5.090000,33.250,170.000,0,OK
7116,0.330000,5.088750,33.500,167.500,0,OK
7136,0.330000,5.090000,33.000,167.500,0,OK
7156,0.330000,5.088750,33.000,167.500,0,OK
7176,0.332500,5.088750,33.250,170.000,0,OK
7196,0.332500,5.090000,33.250,170.000,0,OK
7216,0.332500,5.090000,33.250,170.000,0,OK
7236,0.327500,5.088750,32.750,166.250,0,OK
7256,0.330000,5.088750,33.500,170.000,0,OK
7276,0.330000,5.090000,32.750,166.250,0,OK
7296,0.330000,5.090000,33.000,167.500,0,OK
7316,0.330000,5.086250,33.000,167.500,0,OK
7336,0.330000,5.088750,33.000,167.500,0,OK
7356,0.327500,5.088750,32.750,166.250,0,OK
7376,0.330000,5.090000,33.000,167.500,0,OK
7396,0.327500,5.090000,32.750,166.250,0,OK
7416,0.337500,5.090000,32.750,166.250,0,OK
7436,0.327500,5.091250,32.750,166.250,0,OK
7456,0.332500,5.088750,33.000,167.500,0,OK
7476,0.330000,5.090000,33.000,167.500,0,OK
7496,0.332500,5.086250,33.250,170.000,0,OK
7516,0.330000,5.090000,33.000,167.500,0,OK
7536,0.330000,5.088750,33.000,167.500,0,OK
7556,0.330000,5.087500,33.000,167.500,0,OK
7576,0.330000,5.090000,33.000,167.500,0,OK
7596,0.332500,5.088750,33.250,170.000,0,OK
7616,0.330000,5.090000,33.000,167.500,0,OK
7636,0.330000,5.091250,32.750,167.500,0,OK
7656,0.332500,5.090000,33.250,170.000,0,OK
7676,0.330000,5.088750,33.000,167.500,0,OK
7696,0.332500,5.090000,33.250,170.000,0,OK
7716,0.330000,5.090000,33.000,167.500,0,OK
7736,0.330000,5.090000,33.000,167.500,0,OK
7756,0.330000,5.088750,33.000,167.500,0,OK
7776,0.330000,5.088750,33.250,170.000,0,OK
7796,0.330000,5.090000,32.750,166.250,0,OK
7816,0.330000,5.091250,33.000,167.500,0,OK
7836,0.327500,5.083750,32.750,166.250,0,OK
7856,0.332500,5.090000,33.250,170.000,0,OK
7876,0.327500,5.091250,32.750,166.250,0,OK
7896,0.327500,5.088750,32.750,166.250,0,OK
7916,0.330000,5.090000,33.000,167.500,0,OK
7936,0.337500,5.090000,33.000,167.500,0,OK
7956,0.330000,5.090000,33.000,167.500,0,OK
7976,0.330000,5.090000,33.000,167.500,0,OK
7996,0.330000,5.090000,33.000,167.500,0,OK
8016,0.330000,5.087500,33.000,167.500,0,OK
8036,0.332500,5.090000,33.250,170.000,0,OK
8056,0.330000,5.090000,33.000,167.500,0,OK
8076,0.330000,5.088750,33.000,167.500,0,OK
8096,0.327500,5.090000,32.750,166.250,0,OK
8116,0.327500,5.090000,33.000,167.500,0,OK
8136,0.327500,5.090000,33.000,167.500,0,OK
8156,0.332500,5.088750,33.000,167.500,0,OK
8176,0.330000,5.090000,33.000,167.500,0,OK
8196,0.332500,5.088750,33.250,170.000,0,OK
8216,0.330000,5.090000,33.000,167.500,0,OK
8236,0.330000,5.091250,33.000,167.500,0,OK
8256,0.332500,5.090000,33.250,170.000,0,OK
8276,0.330000,5.090000,33.000,167.500,0,OK
8296,0.330000,5.090000,33.250,170.000,0,OK
8316,0.330000,5.090000,33.000,167.500,0,OK
8336,0.327500,5.090000,32.750,166.250,0,OK
8356,0.330000,5.085000,33.000,167.500,0,OK
8376,0.330000,5.088750,33.000,167.500,0,OK
8396,0.332500,5.088750,33.250,170.000,0,OK
8416,0.330000,5.090000,33.000,167.500,0,OK
8436,0.332500,5.090000,33.250,170.000,0,OK
8456,0.330000,5.090000,33.000,167.500,0,OK
8476,0.330000,5.090000,33.000,167.500,0,OK
8496,0.327500,5.091250,32.750,166.250,0,OK
8516,0.330000,5.090000,32.750,167.500,0,OK
8536,0.330000,5.085000,33.000,167.500,0,OK
8556,0.330000,5.090000,33.000,167.500,0,OK
8576,0.330000,5.091250,33.000,167.500,0,OK
8596,0.330000,5.090000,33.000,167.500,0,OK
8616,0.330000,5.090000,33.000,167.500,0,OK
8636,0.330000,5.090000,33.500,170.000,0,OK
8656,0.330000,5.090000,33.000,167.500,0,OK
8676,0.330000,5.090000,33.000,167.500,0,OK
8696,0.327500,5.090000,32.750,166.250,0,OK
8716,0.327500,5.088750,32.750,166.250,0,OK
8736,0.332500,5.088750,33.250,170.000,0,OK
8756,0.332500,5.090000,33.250,170.000,0,OK
8776,0.330000,5.090000,33.000,167.500,0,OK
8796,0.332500,5.090000,33.250,170.000,0,OK
8816,0.332500,5.090000,33.000,167.500,0,OK
8836,0.330000,5.090000,33.250,170.000,0,OK
8856,0.330000,5.090000,32.750,167.500,0,OK
8876,0.330000,5.083750,33.000,167.500,0,OK
8896,0.330000,5.088750,33.000,167.500,0,OK
8916,0.330000,5.090000,33.000,167.500,0,OK
8936,0.327500,5.088750,32.750,166.250,0,OK
8956,0.330000,5.090000,33.000,167.500,0,OK
8976,0.330000,5.090000,33.000,167.500,0,OK
8996,0.332500,5.090000,32.750,166.250,0,OK
9016,0.332500,5.090000,33.000,167.500,0,OK
9036,0.332500,5.090000,32.750,167.500,0,OK
9056,0.330000,5.085000,33.000,167.500,0,OK
9076,0.332500,5.088750,33.250,170.000,0,OK
9096,0.330000,5.090000,33.000,167.500,0,OK
9116,0.330000,5.088750,33.000,167.500,0,OK
9136,0.330000,5.090000,33.000,167.500,0,OK
9156,0.335000,5.090000,32.750,166.250,0,OK
9176,0.330000,5.088750,33.250,170.000,0,OK
9196,0.330000,5.088750,33.250,167.500,0,OK
9216,0.330000,5.088750,33.000,167.500,0,OK
9236,0.330000,5.087500,33.000,167.500,0,OK
9256,0.330000,5.090000,33.000,167.500,0,OK
9276,0.330000,5.090000,33.000,167.500,0,OK
9296,0.330000,5.088750,33.000,167.500,0,OK
9316,0.330000,5.090000,33.000,167.500,0,OK
9336,0.330000,5.090000,32.750,166.250,0,OK
9356,0.330000,5.090000,33.000,167.500,0,OK
9376,0.327500,5.088750,33.000,166.250,0,OK
9396,0.330000,5.088750,33.000,167.500,0,OK
9416,0.327500,5.088750,32.750,166.250,0,OK
9436,0.330000,5.091250,33.000,167.500,0,OK
9456,0.327500,5.088750,32.750,166.250,0,OK
9476,0.330000,5.090000,33.000,167.500,0,OK
9496,0.330000,5.090000,33.000,167.500,0,OK
9516,0.330000,5.090000,33.000,167.500,0,OK
9536,0.330000,5.090000,32.750,166.250,0,OK
9556,0.330000,5.090000,33.000,167.500,0,OK
9576,0.330000,5.085000,33.000,167.500,0,OK
9596,0.330000,5.088750,33.000,167.500,0,OK
9616,0.327500,5.090000,32.750,166.250,0,OK
9636,0.332500,5.090000,33.250,170.000,0,OK
9656,0.330000,5.090000,33.000,167.500,0,OK
9676,0.337500,5.088750,33.000,167.500,0,OK
9696,0.327500,5.088750,33.000,167.500,0,OK
9716,0.327500,5.090000,33.250,166.250,0,OK
9736,0.327500,5.090000,32.750,166.250,0,OK
