condition,run,source_file,tx_bytes,period_ms,top_percent,cpu_I_idle_mA,cpu_I_active_mA,cpu_active_minus_idle_mA,active_start_s,active_end_s,active_mean_mA,active_std_mA,active_min_mA,active_max_mA,active_top5_mean_mA,active_top5_minus_mean_mA,final_idle_start_s,final_idle_end_s,final_idle_mean_mA,final_idle_std_mA,final_idle_min_mA,final_idle_max_mA,final_idle_top5_mean_mA,final_idle_top5_minus_mean_mA,active_mean_minus_final_idle_mean_mA,active_top5_minus_final_idle_top5_mA,excess_top5_mA,relative_excess_top5_gain,relative_active_top5_vs_idle_top5_gain
uart_64B_100ms,run1,data/processed/v3_ppk/peripheral/uart_tx_only/uart_64B_100ms/aligned_uart_64B_100ms_uart_64B_100ms_run1.csv,64,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,47.269893237127,1.368125274312585,41.579641,60.476465,49.93529928922067,2.6654060520936724,32.0,39.0,47.28219648478857,1.3570464507155813,40.85507,55.377863,49.90073525202559,2.6185387672370197,-0.012303247661570538,0.034564037195082165,0.0468672848566527,0.0023214497571253717,0.0017120402002636197
uart_64B_100ms,run10,data/processed/v3_ppk/peripheral/uart_tx_only/uart_64B_100ms/aligned_uart_64B_100ms_uart_64B_100ms_run10.csv,64,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,47.09603074442101,1.3537869492903962,40.85507,62.664059,49.92949512009474,2.833464375673735,32.0,39.0,46.55670817633429,1.3500762816874106,40.85507,54.650156,49.27661664100937,2.719908464675079,0.5393225680867175,0.6528784790853734,0.11355591099865592,0.005624698397064507,0.03233864712540485
uart_64B_100ms,run2,data/processed/v3_ppk/peripheral/uart_tx_only/uart_64B_100ms/aligned_uart_64B_100ms_uart_64B_100ms_run2.csv,64,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,47.001947566689005,1.3720029260625701,40.130668,60.476465,49.33304444512815,2.3310968784391477,32.0,39.0,47.08816019941857,1.3509636349827514,40.130668,54.650156,49.88345891722647,2.7952987178079027,-0.0862126327295627,-0.5504144720983177,-0.46420183936875503,-0.022993037692619425,-0.027263357510021284
uart_64B_100ms,run3,data/processed/v3_ppk/peripheral/uart_tx_only/uart_64B_100ms/aligned_uart_64B_100ms_uart_64B_100ms_run3.csv,64,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,47.19267558866041,1.3791703245475317,40.130668,61.205496,49.93829025197516,2.745614663314754,32.0,39.0,47.19436680564,1.3568667176620992,41.579641,55.377863,49.89299453523277,2.698627729592772,-0.001691216979594401,0.045295716742387526,0.04698693372198193,0.0023273762542588925,0.002243606194641956
uart_64B_100ms,run4,data/processed/v3_ppk/peripheral/uart_tx_only/uart_64B_100ms/aligned_uart_64B_100ms_uart_64B_100ms_run4.csv,64,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.81407171322,1.3924393818935463,41.579641,59.747598,49.331870045020885,2.5177983318008827,32.0,39.0,47.143519643575715,1.3539385326578293,40.85507,53.922609,49.88900138285782,2.7454817392821056,-0.3294479303557125,-0.5571313378369354,-0.22768340748122284,-0.011277708802961188,-0.027596060084647694
uart_64B_100ms,run5,data/processed/v3_ppk/peripheral/uart_tx_only/uart_64B_100ms/aligned_uart_64B_100ms_uart_64B_100ms_run5.csv,64,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.723513932791,1.383033633895266,40.130668,61.205496,49.32714611017978,2.603632177388782,32.0,39.0,46.79091296703429,1.3681682511688822,40.130668,53.922609,49.2896783083092,2.498765341274911,-0.0673990342432873,0.03746780187058363,0.10486683611387093,0.005194307542492418,0.0018558706743631928
uart_64B_100ms,run6,data/processed/v3_ppk/peripheral/uart_tx_only/uart_64B_100ms/aligned_uart_64B_100ms_uart_64B_100ms_run6.csv,64,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.73338899098601,1.3868426384619155,40.85507,59.747598,49.32989122422134,2.5965022332353342,32.0,39.0,46.77495356132857,1.3794968224766453,41.579641,55.377863,49.29997752629231,2.5250239649637365,-0.04156457034256533,0.029913697929032423,0.07147826827159776,0.0035404911768702326,0.0014816976704426425
uart_64B_100ms,run7,data/processed/v3_ppk/peripheral/uart_tx_only/uart_64B_100ms/aligned_uart_64B_100ms_uart_64B_100ms_run7.csv,64,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.650755322082,1.3866061326520787,40.130668,61.205496,49.32686176113719,2.6761064390551894,32.0,39.0,46.53807213453857,1.3427670416800257,40.130668,53.922609,49.26975625280005,2.7316841182614837,0.11268318754343198,0.05710550833713768,-0.055577679206294306,-0.002752896616257247,0.002828573681305361
uart_64B_100ms,run8,data/processed/v3_ppk/peripheral/uart_tx_only/uart_64B_100ms/aligned_uart_64B_100ms_uart_64B_100ms_run8.csv,64,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.67380269533431,1.3849458911754489,38.682355,60.476465,49.32229434732744,2.648491651993133,32.0,39.0,46.78841915903429,1.3729235670912239,40.130668,53.922609,49.30128741326775,2.51286825423346,-0.11461646369998135,0.021006934059691673,0.13562339775967303,0.006717754287509561,0.0010405241549617447
uart_64B_100ms,run9,data/processed/v3_ppk/peripheral/uart_tx_only/uart_64B_100ms/aligned_uart_64B_100ms_uart_64B_100ms_run9.csv,64,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.446770670875,1.3494420832956118,40.130668,59.747598,48.40159578545725,1.9548251145822562,32.0,39.0,47.00398863434571,1.3520020671143258,40.130668,53.922609,49.309650143227856,2.305661508882146,-0.5572179634707126,-0.9080543577706024,-0.3508363942998898,-0.017377773532844438,-0.04497812439424841
