condition,run,source_file,input_definition,segment,sample_count,MAE_mA,mean_error_mA,median_error_mA,positive_error_ratio
uart_256B_100ms,6,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run6.csv,occupancy,inter_burst,1555510,4.803897502318047,4.798187089927253,5.096945999999839,0.9990736157273177
uart_256B_100ms,6,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run6.csv,pulse,burst,444490,20.046059981218256,20.045242395695595,20.07345499999966,0.9994420571891381
uart_256B_100ms,6,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run6.csv,pulse,final_idle,1000001,1.1300930768909287,0.3630852436949286,0.610546000000177,0.5143374856625144
uart_256B_100ms,6,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run6.csv,pulse,idle_all,2000001,1.1503284137562964,0.43091097284810076,0.6105460000000065,0.5361887319056341
uart_256B_100ms,6,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run6.csv,pulse,initial_idle,1000000,1.170563770857001,0.49873676982700205,0.6105460000000065,0.55804
uart_256B_100ms,6,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run6.csv,pulse,inter_burst,1555510,1.2310826129439008,0.4401527744329636,0.610546000000177,0.5119337066299798
uart_256B_100ms,7,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run7.csv,occupancy,burst,444447,5.066596444253515,5.061840972222231,5.096945999999839,0.999196754618661
uart_256B_100ms,7,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run7.csv,occupancy,final_idle,1000001,1.1552305485585699,0.45323537943046494,0.610546000000177,0.5439344560655439
uart_256B_100ms,7,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run7.csv,occupancy,idle_all,2000000,1.13830066790656,0.39249602646192305,0.6105460000000065,0.5241945
uart_256B_100ms,7,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run7.csv,occupancy,initial_idle,999999,1.1213707533947543,0.33175655201455384,0.6105460000000065,0.5044545044545045
